origin_country,total_flights,avg_velocity,avg_altitude
Algeria,13,0.0,
Argentina,13,0.0,
Armenia,2,0.0,
Australia,71,0.352112676056338,
Austria,137,0.08029197080291971,
Azerbaijan,3,0.0,
Bahamas,1,0.0,
Bahrain,11,0.0,
Bangladesh,9,0.5555555555555556,
Belarus,4,0.0,
Belgium,33,0.2727272727272727,
Brazil,115,0.0782608695652174,
Bulgaria,14,0.14285714285714285,
Cambodia,2,0.0,
Canada,371,0.20754716981132076,
Cape Verde,1,1.0,
Chile,24,0.0,
China,243,0.06995884773662552,
Colombia,3,0.0,
Costa Rica,2,0.0,
Croatia,11,0.09090909090909091,
Cyprus,5,0.0,
Czech Republic,63,0.09523809523809523,
Denmark,30,0.0,
Dominican Republic,3,0.0,
Egypt,28,0.03571428571428571,
Estonia,10,0.4,
Ethiopia,7,0.14285714285714285,
Finland,22,0.22727272727272727,
France,204,0.12745098039215685,
Georgia,5,0.8,
Germany,374,0.0855614973262032,
Greece,62,0.20967741935483872,
Guatemala,3,0.0,
Hungary,53,0.018867924528301886,
Iceland,22,0.0,
India,148,0.02702702702702703,
Indonesia,27,0.0,
Ireland,311,0.08360128617363344,
Israel,37,0.10810810810810811,
Italy,34,0.11764705882352941,
Japan,73,0.1095890410958904,
Jordan,17,0.058823529411764705,
Kazakhstan,4,0.0,
Kenya,6,0.0,
Kingdom of the Netherlands,133,0.12030075187969924,
Kuwait,12,0.0,
Latvia,33,0.21212121212121213,
Lebanon,3,0.0,
Libyan Arab Jamahiriya,5,0.0,
Lithuania,26,0.15384615384615385,
Luxembourg,22,0.09090909090909091,
Malaysia,38,0.10526315789473684,
Malta,198,0.06565656565656566,
Mexico,77,0.05194805194805195,
Mongolia,1,0.0,
Montenegro,3,0.0,
Morocco,28,0.0,
Myanmar,2,0.0,
Nepal,2,0.5,
New Zealand,11,0.18181818181818182,
Norway,62,0.0967741935483871,
Oman,5,0.0,
Pakistan,5,0.0,
Panama,13,0.07692307692307693,
Paraguay,1,0.0,
Philippines,35,0.08571428571428572,
Poland,137,0.058394160583941604,
Portugal,76,0.13157894736842105,
Qatar,71,0.014084507042253521,
Republic of Korea,86,0.10465116279069768,
Republic of Moldova,3,0.0,
Romania,14,0.07142857142857142,
Russian Federation,50,0.02,
San Marino,11,0.0,
Saudi Arabia,27,0.037037037037037035,
Senegal,1,0.0,
Serbia,9,0.0,
Singapore,34,0.0,
Slovakia,7,0.0,
Slovenia,7,0.14285714285714285,
South Africa,25,0.04,
Spain,157,0.09554140127388536,
Sri Lanka,3,0.0,
Sweden,94,0.09574468085106383,
Switzerland,96,0.20833333333333334,
Syrian Arab Republic,1,0.0,
Taiwan,71,0.09859154929577464,
Thailand,61,0.03278688524590164,
Tunisia,9,0.0,
Turkey,302,0.033112582781456956,
Turkmenistan,1,0.0,
Ukraine,9,0.0,
United Arab Emirates,80,0.0125,
United Kingdom,518,0.07142857142857142,
United States,5095,0.07850834151128558,
Uzbekistan,7,0.2857142857142857,
Viet Nam,28,0.03571428571428571,
