origin_country,total_flights,avg_velocity,on_ground
Algeria,1,0.0,0.0
Argentina,11,0.09090909090909091,0.0
Armenia,1,0.0,0.0
Australia,325,0.2153846153846154,0.0
Austria,37,0.08108108108108109,0.0
Azerbaijan,1,0.0,0.0
Bahrain,14,0.14285714285714285,0.0
Bangladesh,13,0.3076923076923077,0.0
Belarus,3,0.0,0.0
Belgium,8,0.375,0.0
Bhutan,1,0.0,0.0
Brazil,71,0.014084507042253521,0.0
Brunei Darussalam,3,0.0,0.0
Bulgaria,8,0.125,0.0
Cambodia,3,0.0,0.0
Canada,265,0.2037735849056604,0.0
Chile,15,0.0,0.0
China,204,0.10294117647058823,0.0
Colombia,10,0.2,0.0
Croatia,1,0.0,0.0
Cyprus,1,0.0,0.0
Czech Republic,17,0.29411764705882354,0.0
Denmark,6,0.0,0.0
Dominican Republic,2,0.0,0.0
Ecuador,1,0.0,0.0
Egypt,23,0.0,0.0
Estonia,2,0.5,0.0
Ethiopia,15,0.0,0.0
Fiji,2,0.0,0.0
Finland,17,0.058823529411764705,0.0
France,72,0.16666666666666666,0.0
Georgia,6,0.3333333333333333,0.0
Germany,97,0.13402061855670103,0.0
Greece,24,0.5,0.0
Hungary,21,0.047619047619047616,0.0
Iceland,14,0.14285714285714285,0.0
India,151,0.013245033112582781,0.0
Indonesia,41,0.024390243902439025,0.0
Ireland,36,0.1388888888888889,0.0
Islamic Republic of Iran,1,0.0,0.0
Israel,22,0.3181818181818182,0.0
Italy,5,0.4,0.0
Japan,192,0.109375,0.0
Jordan,4,0.0,0.0
Kazakhstan,3,0.0,0.0
Kenya,2,0.0,0.0
Kingdom of the Netherlands,18,0.05555555555555555,0.0
Kuwait,4,0.0,0.0
Lao People's Democratic Republic,1,0.0,0.0
Latvia,11,0.0,0.0
Libyan Arab Jamahiriya,1,0.0,0.0
Lithuania,10,0.2,0.0
Luxembourg,3,0.0,0.0
Malaysia,44,0.045454545454545456,0.0
Malta,25,0.08,0.0
Mauritius,1,0.0,0.0
Mexico,64,0.0625,0.0
Mongolia,1,0.0,0.0
Morocco,6,0.0,0.0
Myanmar,4,0.25,0.0
Nepal,4,0.0,0.0
New Zealand,62,0.04838709677419355,0.0
Nigeria,1,0.0,0.0
Norway,2,0.0,0.0
Oman,7,0.0,0.0
Pakistan,2,0.0,0.0
Panama,18,0.05555555555555555,0.0
Philippines,43,0.18604651162790697,0.0
Poland,36,0.05555555555555555,0.0
Portugal,12,0.16666666666666666,0.0
Qatar,43,0.0,0.0
Republic of Korea,98,0.11224489795918367,0.0
Republic of Moldova,1,0.0,0.0
Romania,6,0.0,0.0
Russian Federation,37,0.05405405405405406,0.0
San Marino,1,1.0,0.0
Saudi Arabia,11,0.0,0.0
Serbia,4,0.5,0.0
Singapore,45,0.06666666666666667,0.0
Slovenia,2,0.0,0.0
South Africa,2,0.0,0.0
Spain,43,0.09302325581395349,0.0
Sri Lanka,2,0.0,0.0
Sweden,4,0.25,0.0
Switzerland,29,0.41379310344827586,0.0
Syrian Arab Republic,1,0.0,0.0
Taiwan,83,0.0963855421686747,0.0
Thailand,65,0.0,0.0
Trinidad and Tobago,2,0.0,0.0
Tunisia,7,0.0,0.0
Turkey,139,0.02158273381294964,0.0
Ukraine,4,0.0,0.0
United Arab Emirates,86,0.046511627906976744,0.0
United Kingdom,82,0.18292682926829268,0.0
United Republic of Tanzania,1,0.0,0.0
United States,3642,0.10378912685337727,0.0
Uzbekistan,3,0.0,0.0
Viet Nam,25,0.0,0.0
