icao24,origin_country,velocity,geo_altitude
c81bd2,New Zealand,False,
a61867,United States,False,
a53edd,United States,False,
801640,India,False,
ab6fdd,United States,False,
8a02ff,Indonesia,False,
80163d,India,False,
acdfa6,United States,False,
a3b88e,United States,False,
8a02ee,Indonesia,False,
a36898,United States,False,
80160a,India,False,
511167,Estonia,False,
801616,India,False,
a5954e,United States,False,
a5955b,United States,False,
851914,Japan,False,
acdfd3,United States,False,
a0e250,United States,False,
a48850,United States,False,
a4b234,United States,True,
ad694c,United States,False,
801632,India,False,
8a02cb,Indonesia,False,
801633,India,False,
a34215,United States,False,
a2355d,United States,False,
a2228b,United States,False,
ad5656,United States,False,
7c7269,Australia,False,
ab167d,United States,False,
a47597,United States,False,
ae1fdc,United States,False,
4bc8c9,Turkey,False,
4bc8c6,Turkey,False,
ab0361,United States,False,
511170,Estonia,False,
a007bd,United States,False,
a4d838,United States,False,
4bc8d2,Turkey,False,
47b217,Norway,False,
471efb,Hungary,False,
801662,India,False,
ac3688,United States,False,
a3b85b,United States,False,
44029f,Austria,False,
a59530,United States,False,
a5f825,United States,False,
a3689e,United States,False,
801672,India,False,
801673,India,False,
a4c527,United States,False,
801671,India,False,
ac21e4,United States,False,
7c70ff,Australia,False,
abad94,United States,False,
8a0425,Indonesia,False,
8a0428,Indonesia,False,
8a0421,Indonesia,False,
a9fbb6,United States,True,
adda24,United States,False,
aae1ea,United States,False,
8a0418,Indonesia,False,
3455d5,Spain,False,
a4b297,United States,False,
a0f4a2,United States,False,
aa8051,United States,False,
0d11e6,Mexico,False,
0d11e9,Mexico,False,
4bc8cf,Turkey,False,
a71291,United States,False,
80168a,India,False,
3455c1,Spain,False,
ad41cd,United States,False,
ad41ed,United States,True,
a127bb,United States,True,
adda42,United States,False,
46b82f,Greece,False,
e80242,Chile,True,
e48bf8,Brazil,False,
a8dbbd,United States,False,
478854,Norway,False,
7c2ec1,Australia,False,
c0220d,Canada,False,
a0f4d6,United States,False,
c81d25,New Zealand,False,
46b833,Greece,False,
a091d5,United States,True,
46b837,Greece,False,
440209,Austria,True,
ac491d,United States,False,
a5f87d,United States,False,
8851e1,Thailand,False,
46b821,Greece,False,
8851e4,Thailand,False,
a114ed,United States,False,
a114c9,United States,False,
4cc2a7,Iceland,False,
a0f4b5,United States,True,
ab6fbf,United States,False,
7c2ea2,Australia,False,
c80a16,New Zealand,False,
a247f0,United States,False,
c04893,Canada,False,
a247df,United States,False,
aaf60a,United States,True,
a2ba48,United States,False,
aa3d45,United States,False,
7c1c55,Australia,False,
885222,Thailand,False,
7cf9e4,Australia,False,
a4c4bb,United States,False,
a2cd61,United States,False,
7cf9cb,Australia,False,
ab5d4a,United States,False,
c02207,Canada,False,
c81d8e,New Zealand,False,
7cf9c4,Australia,False,
aaf4c8,United States,False,
ac47de,United States,True,
c81d95,New Zealand,False,
c81d97,New Zealand,False,
7c1c23,Australia,True,
a857c2,United States,False,
e49eee,Brazil,False,
c81d9d,New Zealand,False,
e49ef0,Brazil,False,
ac34bf,United States,False,
e49ef1,Brazil,False,
471f8e,Hungary,False,
8014f3,India,False,
a03ca5,United States,False,
ac6a1f,United States,False,
4520d2,Bulgaria,False,
a3a4b1,United States,False,
8a0451,Indonesia,False,
a39d9b,United States,False,
471f9a,Hungary,False,
8014ea,India,False,
8014c1,India,False,
a40d7a,United States,False,
acba1a,United States,False,
8a0441,Indonesia,False,
c04826,Canada,False,
e49ed5,Brazil,False,
a3da0d,United States,False,
8014d8,India,False,
4520ea,Bulgaria,False,
8014d0,India,False,
ae74b2,United States,False,
8a03b3,Indonesia,False,
34310d,Spain,False,
471f65,Hungary,False,
a1bfb2,United States,False,
ada546,United States,False,
0d1258,Mexico,False,
742838,Jordan,False,
ae6245,United States,False,
a28fb4,United States,False,
8014fd,India,False,
a61919,United States,False,
a977fd,United States,False,
a59601,United States,False,
e48c4d,Brazil,False,
8014fa,India,False,
ae623c,United States,False,
c07c7b,Canada,True,
4400be,Austria,False,
c07c7a,Canada,True,
ae6233,United States,False,
ae6241,United States,False,
a831e5,United States,False,
344416,Spain,False,
a0d010,United States,False,
a09369,United States,False,
801602,India,False,
0d1201,Mexico,False,
801600,India,False,
ae624b,United States,False,
a1bff9,United States,False,
a40ca4,United States,False,
a75a21,United States,False,
a9b4a4,United States,False,
a5d1c6,United States,False,
801612,India,False,
801613,India,False,
471f00,Hungary,False,
471f01,Hungary,False,
a63a5c,United States,False,
ae6288,United States,False,
e07542,Argentina,False,
a831b2,United States,False,
a977bb,United States,False,
a27cbd,United States,False,
a08021,United States,False,
885283,Thailand,False,
0d121d,Mexico,False,
885282,Thailand,False,
ac47b7,United States,False,
c046f7,Canada,False,
7809fe,China,False,
a3b90e,United States,False,
a2363b,United States,False,
a59660,United States,False,
a59662,United States,False,
a4d97e,United States,False,
801759,India,False,
a7395d,United States,False,
8a01dc,Indonesia,False,
801767,India,False,
c07e42,Canada,False,
80175a,India,False,
a4d98e,United States,False,
abadc0,United States,False,
ac3751,United States,False,
a3a67b,United States,False,
a5d319,United States,False,
a34358,United States,False,
80172c,India,False,
801738,India,False,
a64ce6,United States,False,
a47656,United States,False,
a89fcf,United States,False,
c07e67,Canada,False,
801745,India,False,
a70002,United States,False,
a41fed,United States,False,
a5e671,United States,False,
ad9db8,United States,False,
801748,India,False,
801751,India,False,
c06b28,Canada,False,
801752,India,False,
8852e3,Thailand,False,
8852e2,Thailand,False,
801754,India,False,
a76cc0,United States,True,
500381,San Marino,False,
80178d,India,False,
aae465,United States,False,
7cb035,Australia,True,
a2107b,United States,True,
a5f938,United States,False,
3c4b27,Germany,False,
a45051,United States,True,
ad3109,United States,False,
3c4b29,Germany,False,
a4d946,United States,False,
7cb023,Australia,False,
ac245c,United States,False,
39cc8b,France,False,
a3a647,United States,False,
0d10ec,Mexico,False,
a9ea40,United States,False,
a85931,United States,False,
ab048d,United States,False,
a40cfc,United States,False,
778823,Syrian Arab Republic,False,
a9b4de,United States,False,
ac379a,United States,False,
80177d,India,False,
80177b,India,False,
a008c5,United States,False,
ad445c,United States,False,
a0d06c,United States,False,
e49f59,Brazil,False,
801798,India,False,
a3a65f,United States,False,
ad42db,United States,False,
ada5ee,United States,False,
c0104f,Canada,False,
a2ce05,United States,False,
c0103a,Canada,False,
a4a095,United States,False,
a235b7,United States,False,
a14b1a,United States,False,
ad8b94,United States,False,
505ca6,Slovakia,False,
4bb4f4,Turkey,False,
8016a1,India,False,
4aca64,Sweden,False,
4aca65,Sweden,False,
4aca68,Sweden,False,
7c2fdb,Australia,False,
a222b2,United States,False,
a40e41,United States,False,
a2bb10,United States,False,
ac370b,United States,False,
a7398e,United States,False,
76b863,Singapore,False,
8016b7,India,False,
8016b9,India,False,
a40e1c,United States,False,
a0f5ca,United States,False,
471fae,Hungary,False,
c07cf6,Canada,False,
aa9459,United States,False,
a0f5e7,United States,False,
a88ccf,United States,False,
ac3731,United States,False,
4bb4e7,Turkey,False,
8015c0,India,False,
7c0a2b,Australia,False,
c81c47,New Zealand,False,
a2ce7f,United States,False,
a2ce95,United States,False,
47b1dc,Norway,False,
ac48f2,United States,False,
a582bb,United States,True,
c0360e,Canada,False,
c81c4c,New Zealand,False,
8a0375,Indonesia,False,
c04958,Canada,False,
a1ae7c,United States,False,
781a53,China,False,
ac22a7,United States,False,
ab15f0,United States,False,
ac6b0c,United States,False,
8015a8,India,False,
a39e6b,United States,False,
c81c60,New Zealand,True,
884036,Thailand,False,
440304,Austria,False,
ab4b54,United States,False,
885310,Thailand,False,
ad8b1d,United States,False,
885312,Thailand,False,
abae62,United States,False,
781a6c,China,False,
885308,Thailand,False,
885301,Thailand,False,
a738a3,United States,False,
a3a5d9,United States,False,
3c4ad9,Germany,False,
8015e2,India,False,
8015e8,India,False,
8015e6,India,False,
a52e50,United States,False,
a52e54,United States,False,
a95385,United States,False,
8015da,India,False,
8015de,India,False,
88530c,Thailand,False,
88530b,Thailand,False,
88530d,Thailand,False,
88530a,Thailand,False,
8015ef,India,False,
c04937,Canada,False,
4401e2,Austria,False,
4bc859,Turkey,False,
a1adab,United States,False,
c021f6,Canada,False,
c06a76,Canada,False,
4bc84e,Turkey,False,
0d111a,Mexico,False,
a60701,United States,False,
728669,Iraq,False,
a99b83,United States,False,
739349,Israel,False,
ada64d,United States,False,
a15de5,United States,False,
702066,Bangladesh,False,
c06a7f,Canada,True,
0d1146,Mexico,False,
ae634b,United States,True,
ad4390,United States,False,
4bc849,Turkey,False,
4bc847,Turkey,False,
4bc841,Turkey,False,
4bc850,Turkey,False,
0d1158,Mexico,False,
a35701,United States,False,
aa92f8,United States,False,
a712d2,United States,False,
87339a,Japan,False,
a23783,United States,False,
4bc896,Turkey,False,
ad438d,United States,False,
c06a38,Canada,False,
4bb573,Turkey,False,
a8de56,United States,False,
4bc88e,Turkey,False,
a87b1d,United States,False,
4bc89a,Turkey,False,
ac7e09,United States,False,
a39dca,United States,False,
801725,India,False,
a0e470,United States,False,
ab28d7,United States,False,
ad3098,United States,False,
5002d4,San Marino,False,
a5d2f9,United States,False,
a4771b,United States,False,
aa92c2,United States,False,
ac48d3,United States,False,
a75b65,United States,True,
abf09e,United States,False,
4bc892,Turkey,False,
a02af9,United States,False,
a75b5e,United States,False,
a14ad1,United States,False,
a14ad4,United States,False,
73806d,Israel,False,
80186e,India,False,
80053e,India,False,
a2efec,United States,False,
a86925,United States,False,
a30ffd,United States,False,
801878,India,False,
c058b4,Canada,False,
c058ae,Canada,False,
a4995f,United States,False,
7c0ada,Australia,False,
80187b,India,False,
a36659,United States,False,
a3c990,United States,False,
c045a7,Canada,False,
c058d5,Canada,False,
738060,Israel,False,
a3795a,United States,True,
4bb475,Turkey,False,
738065,Israel,False,
738069,Israel,False,
738068,Israel,False,
80184e,India,False,
c058cd,Canada,False,
73805c,Israel,True,
ab2760,United States,False,
73805a,Israel,False,
a3fce7,United States,False,
ac340a,United States,False,
80052b,India,False,
495cd0,Portugal,False,
738072,Israel,True,
c058c3,Canada,False,
738075,Israel,False,
a6030e,United States,False,
c058bf,Canada,False,
80185f,India,False,
73806a,Israel,True,
c058bb,Canada,False,
c058be,Canada,False,
7cc407,Australia,False,
440059,Austria,False,
8733bc,Japan,False,
a1139f,United States,False,
45202b,Bulgaria,False,
3c4a04,Germany,False,
a41cf8,United States,False,
738052,Israel,False,
70207d,Bangladesh,False,
3c4a14,Germany,False,
738051,Israel,False,
738057,Israel,False,
a2dceb,United States,True,
a6290b,United States,False,
44003f,Austria,False,
8a04f7,Indonesia,False,
a11380,United States,False,
a3534a,United States,False,
739350,Israel,False,
800579,India,True,
440081,Austria,False,
ad6758,United States,False,
